Manhattan,stir,2 oz rye,1 oz sweet vermouth,,2 dashes bitter,,Twist or cherry,
Old Fashioned,,2 oz rye whisky,1 sugar cube,,3 dashes Angostura bitters,club soda,,
Brooklyn,,,,,,,,
Boulevardier,,,,,,,,
Vieux Carre,,,,,,,,
Sazerac,,,,,,,,
Julep,,,,,,,,
Buck,,,,,,,,
The Bone,,,,,,,,Manhattan,stir,2 oz rye,1 oz sweet vermouth,,2 dashes bitter,,Twist or cherry,
Old Fashiouned,,2 oz rye whisky,1 sugar cube,,3 dashes Angostura bitters,club soda,,
Brooklyn,,,,,,,,
Boulevardier,,,,,,,,
Vieux Carre,,,,,,,,
Sazerac,,,,,,,,
Julep,,,,,,,,
Buck,,,,,,,,
The Bone,,,,,,,,
Creole,,,,,,,,
Rusty Nail,,,,,,,,
Blood And Sand,,,,,,,,
Bobby Burns,,,,,,,,
Rob Roy,Stir,2 oz scotch,3/4 sweet vermouth,,dashes of Angostura,,Cherry,
Sidecar,,1 1/2 oz cognac,3/4 oz Cointreau,3/4 oz lemon juice,,,,
Jack Rose,,,,,,,,
Brandy Alexander,,,,,,,,
Fish House Punch,,,,,,,,
Charlie Chaplin,Shake,3/4 apricot brandy,3/4 sloe gin,3/4 lime,,,,
Martinez,,,,,,,,
Twentieth Century,,,,,,,,
Last Word,,,,,,,,
Corspe Reviver No2,,,,,,,,
Negroni,,,,,,,,
Aviation,,,,,,,,
Martini,,,,,,,,
Tom Collins,,,,,,,,
Singapore Sling,,,,,,,,
Bramble,,,,,,,,
Rickey,,,,,,,,
Pegu Club No2,,,,,,,,
Ramos Gin Fizz,,,,,,,,
Vesper,,,,,,,,
Clover Club,Shake,2 oz Gin,3 dashes raspberry syrup,1/2 oz lemon,1 egg white,,,
Margarita,,2 ounces silver tequila,1 ounce Cointreau,1 ounce lime juice,,,,
El Diablo,Build in glass,1 1/2 oz silver tequila,1/2 oz crème de cassis,1/2 oz lime,2-3 oz ginger beer,,,
Paloma,,,,,,,,
Rum,,,,,,,,
Daquiri,,,,,,,,
Heminway Daquiri,,,,,,,,
Mojito,,,,,,,,
Dark And Stormy,Stir or just build,2 oz dark rum,3 oz ginger beer,1/2 lime,,,,
Cuba Libre,,,,,,,,
Planter'S Punch,,,,,,,,
Mai Tai,,2 oz dark rum,1/2 oz s curacoa,1 oz lime,1/2 orgeat,1/8 oz simple,Shake and pour all into tiki mug,lime and mint
Zombie,,,,,,,,
Surfer On Acid,,,,,,,,
Mary Pickford,,,,,,,,
Vodka Martini,,,,,,,,
Espresso Martini,Shake,50ml vodka,25ml Kahlua,25ml Espresso,,,3 coffee beans,
Moscow Mule,,,,,,,,
Bloody Mary,,,,,,,,
Cosmopolitan,,,,,,,,
White Russain,,,,,,,,
Greyhound,,,,,,,,
Pisco Punch,,,,,,,,
Pisco Sour,,,,,,,,
Caiprihina,,,,,,,,
Americano,,,,,,,,
Aperol Spritzer,,,,,,,,
French 75,,2 oz gin,1 tsp superfine sugar,1/2 lemon,5 oz champagne,Shake, strain into half full iced collins glass and top with champagne,,
Pimm's Cup,,,,,,,,
Picon Punch,,,,,,,,
Sangrita,,,,,,,,
