Fruity,,,,,,,,,,,,,,,,Jack Rose,,Fish House Punch,Charlie Chaplin,,,,,,,,,Singapore Sling,Bramble,,,,,Clover Club,Margarita,El Diablo,Paloma,Daquiri,,Mojito,,,Planter's Punch,Mai Tai,Zombie,,Mary Pickford,,,,,Cosmopolitan,,Greyhound,Pisco Punch,,,,Aperol Spritzer,,Pimm's Cup,Picon Punch,
Bitter,,,Brooklyn,Boulevardier,,,,,,,,,Bobby Burns,,,,,,,Martinez,,,,Negroni,,,,,,,,Ramos Gin Fizz,,,,,Paloma,,Heminway Daquiri,,,,,,,,,,Espresso Martini,,,,,,,,,Americano,Aperol Spritzer,,,,
Herbal,,,,Boulevardier,,,,,,,,,Bobby Burns,,,,,,,Martinez,,Last Word,,Negroni,,Martini,,,,,,,Vesper,,,,,,Heminway Daquiri,,,,,,,,,Vodka Martini,,,,Cosmopolitan,,,Pisco Punch,Pisco Sour,Caiprihina,Americano,Aperol Spritzer,French 75,Pimm's Cup,Picon Punch,
Citrusy,,,,Boulevardier,,,,,The Bone,Creole,,,,,Sidecar,Jack Rose,,Fish House Punch,Charlie Chaplin,,Twentieth Century,Last Word,Corspe Reviver No2,Negroni,Aviation,,Tom Collins,Singapore Sling,,Rickey,Pegu Club #2,Ramos Gin Fizz,Vesper,Clover Club,Margarita,El Diablo,Paloma,Daquiri,Heminway Daquiri,Mojito,Dark And Stormy,Cuba Libre,Planter's Punch,Mai Tai,Zombie,Surfer On Acid,Mary Pickford,,,Moscow Mule,Bloody Mary,Cosmopolitan,,Greyhound,Pisco Punch,Pisco Sour,Caiprihina,Americano,Aperol Spritzer,French 75,Pimm's Cup,Picon Punch,Sangrita
Sweet,Manhattan,Old Fashioned,,Boulevardier,,Sazerac,Julep,Buck,,,,,,Rob Roy,Sidecar,Jack Rose,Brandy Alexander,Fish House Punch,Charlie Chaplin,,Twentieth Century,Last Word,,Negroni,,,,Singapore Sling,Bramble,,,,,Clover Club,Margarita,El Diablo,,Daquiri,,Mojito,Dark And Stormy,Cuba Libre,Planter's Punch,Mai Tai,Zombie,,Mary Pickford,,Espresso Martini,Moscow Mule,,Cosmopolitan,White Russain,,Pisco Punch,,Caiprihina,,,,Pimm's Cup,Picon Punch,
Dry,,,Brooklyn,,Vieux Carre,Sazerac,,,The Bone,Creole,Rusty Nail,Blood And Sand,Bobby Burns,Rob Roy,,,,,,Martinez,,,Corspe Reviver No2,,Aviation,Martini,Tom Collins,,,Rickey,Pegu Club #2,Ramos Gin Fizz,Vesper,Clover Club,,,Paloma,,Heminway Daquiri,,,,,,,Surfer On Acid,,Vodka Martini,,,Bloody Mary,,,Greyhound,,Pisco Sour,,Americano,Aperol Spritzer,French 75,,,Sangrita
Refreshing,,,,,,,Julep,Buck,The Bone,,,,,,Sidecar,,,Fish House Punch,,,Twentieth Century,Last Word,Corspe Reviver No2,,,,Tom Collins,Singapore Sling,Bramble,Rickey,Pegu Club #2,Ramos Gin Fizz,Vesper,Clover Club,Margarita,El Diablo,Paloma,,Heminway Daquiri,Mojito,Dark And Stormy,Cuba Libre,Planter's Punch,Mai Tai,Zombie,,Mary Pickford,,,Moscow Mule,Bloody Mary,Cosmopolitan,,Greyhound,Pisco Punch,,Caiprihina,Americano,Aperol Spritzer,French 75,Pimm's Cup,Picon Punch,Sangrita
Light,,,,,,,,Buck,,,,,,,Sidecar,Jack Rose,Brandy Alexander,Fish House Punch,Charlie Chaplin,,Twentieth Century,Last Word,Corspe Reviver No2,,Aviation,Martini,Tom Collins,Singapore Sling,Bramble,Rickey,Pegu Club #2,Ramos Gin Fizz,Vesper,Clover Club,Margarita,El Diablo,Paloma,Daquiri,Heminway Daquiri,Mojito,,,Planter's Punch,Mai Tai,,,Mary Pickford,Vodka Martini,,Moscow Mule,,Cosmopolitan,White Russain,Greyhound,Pisco Punch,Pisco Sour,Caiprihina,Americano,Aperol Spritzer,French 75,,Picon Punch,Sangrita
Dark,Manhattan,Old Fashioned,Brooklyn,Boulevardier,Vieux Carre,Sazerac,Julep,,The Bone,Creole,Rusty Nail,Blood And Sand,Bobby Burns,Rob Roy,,,,,,Martinez,,,,Negroni,,,,,Bramble,Rickey,,,,,,,,,,,Dark And Stormy,Cuba Libre,,,Zombie,Surfer On Acid,,,Espresso Martini,,Bloody Mary,,,,,,,,,,Pimm's Cup,,
Intense,Manhattan,Old Fashioned,Brooklyn,Boulevardier,Vieux Carre,Sazerac,,,The Bone,Creole,Rusty Nail,Blood And Sand,Bobby Burns,Rob Roy,Sidecar,Jack Rose,Brandy Alexander,,Charlie Chaplin,Martinez,Twentieth Century,Last Word,Corspe Reviver No2,Negroni,Aviation,Martini,,Singapore Sling,,,Pegu Club #2,Ramos Gin Fizz,Vesper,Clover Club,Margarita,,Paloma,Daquiri,Heminway Daquiri,,,,,Mai Tai,Zombie,Surfer On Acid,Mary Pickford,Vodka Martini,Espresso Martini,,Bloody Mary,Cosmopolitan,White Russain,,,Pisco Sour,,,Aperol Spritzer,,,Picon Punch,Sangrita
Challenging,Manhattan,,Brooklyn,Boulevardier,Vieux Carre,Sazerac,,,The Bone,Creole,Rusty Nail,Blood And Sand,Bobby Burns,Rob Roy,,,,,,Martinez,Twentieth Century,Last Word,Corspe Reviver No2,Negroni,,,,,,,,Ramos Gin Fizz,Vesper,Clover Club,,,Paloma,,,,,,,Mai Tai,,Surfer On Acid,,,,,,,,,,Pisco Sour,,,,,,Picon Punch,Sangrita
